Exterior2nd,SalePrice
HdBoard,755000.0
ImStucc,745000.0
HdBoard,625000.0
VinylSd,611657.0
VinylSd,582933.0
CmentBd,556581.0
VinylSd,555000.0
Wd Shng,538000.0
VinylSd,501837.0
VinylSd,485000.0
Wd Sdng,475000.0
VinylSd,466500.0
VinylSd,465000.0
CmentBd,451950.0
VinylSd,446261.0
VinylSd,440000.0
VinylSd,438780.0
CmentBd,437154.0
BrkFace,430000.0
VinylSd,426000.0
VinylSd,424870.0
VinylSd,423000.0
CmentBd,415298.0
VinylSd,412500.0
VinylSd,410000.0
VinylSd,403000.0
CmentBd,402861.0
VinylSd,402000.0
VinylSd,395192.0
VinylSd,395000.0
VinylSd,394617.0
VinylSd,394432.0
CmentBd,392500.0
MetalSd,392000.0
VinylSd,386250.0
Wd Shng,385000.0
CmentBd,385000.0
VinylSd,383970.0
Stucco,381000.0
VinylSd,380000.0
CmentBd,378500.0
VinylSd,377500.0
VinylSd,377426.0
BrkFace,375000.0
VinylSd,374000.0
VinylSd,372500.0
VinylSd,372402.0
CmentBd,370878.0
VinylSd,369900.0
MetalSd,367294.0
VinylSd,361919.0
VinylSd,360000.0
Wd Sdng,359100.0
VinylSd,354000.0
MetalSd,350000.0
VinylSd,350000.0
VinylSd,348000.0
Wd Shng,345000.0
Wd Sdng,345000.0
VinylSd,342643.0
ImStucc,341000.0
CmentBd,340000.0
VinylSd,340000.0
VinylSd,339750.0
CmentBd,337500.0
VinylSd,337000.0
VinylSd,336000.0
MetalSd,335000.0
VinylSd,335000.0
HdBoard,335000.0
VinylSd,333168.0
MetalSd,328900.0
Wd Sdng,328000.0
VinylSd,326000.0
VinylSd,325624.0
VinylSd,325300.0
VinylSd,325000.0
Wd Sdng,325000.0
HdBoard,325000.0
VinylSd,325000.0
BrkFace,324000.0
Plywood,320000.0
VinylSd,320000.0
CmentBd,320000.0
ImStucc,320000.0
MetalSd,319900.0
Other,319000.0
MetalSd,318061.0
VinylSd,318000.0
VinylSd,318000.0
VinylSd,317000.0
Wd Sdng,316600.0
VinylSd,315750.0
VinylSd,315500.0
BrkFace,315000.0
VinylSd,315000.0
VinylSd,315000.0
VinylSd,315000.0
CmentBd,314813.0
VinylSd,313000.0
VinylSd,312500.0
CmentBd,311872.0
VinylSd,311500.0
MetalSd,310000.0
VinylSd,310000.0
VinylSd,309000.0
VinylSd,307000.0
VinylSd,306000.0
CmentBd,305900.0
VinylSd,305000.0
CmentBd,303477.0
Plywood,302000.0
Wd Sdng,302000.0
HdBoard,301500.0
Plywood,301000.0
VinylSd,299800.0
VinylSd,297000.0
VinylSd,295493.0
CmentBd,295000.0
Wd Sdng,294000.0
VinylSd,293077.0
VinylSd,290000.0
VinylSd,290000.0
VinylSd,290000.0
VinylSd,290000.0
VinylSd,290000.0
Wd Sdng,289000.0
CmentBd,287090.0
HdBoard,287000.0
VinylSd,287000.0
CmentBd,286000.0
VinylSd,285000.0
VinylSd,285000.0
HdBoard,285000.0
VinylSd,284000.0
VinylSd,284000.0
VinylSd,283463.0
VinylSd,282922.0
VinylSd,281213.0
VinylSd,281000.0
VinylSd,280000.0
VinylSd,280000.0
Plywood,280000.0
MetalSd,280000.0
VinylSd,279500.0
BrkFace,278000.0
CmentBd,278000.0
MetalSd,277500.0
Plywood,277000.0
HdBoard,277000.0
CmentBd,276000.0
VinylSd,275500.0
Wd Sdng,275000.0
VinylSd,275000.0
HdBoard,275000.0
VinylSd,275000.0
CmentBd,275000.0
Plywood,274970.0
VinylSd,274900.0
VinylSd,274725.0
VinylSd,274300.0
MetalSd,274000.0
VinylSd,272000.0
HdBoard,272000.0
HdBoard,271900.0
CmentBd,271000.0
VinylSd,271000.0
VinylSd,270000.0
BrkFace,270000.0
VinylSd,270000.0
MetalSd,269790.0
VinylSd,269500.0
HdBoard,268000.0
Wd Sdng,268000.0
VinylSd,267000.0
CmentBd,266500.0
VinylSd,266000.0
MetalSd,266000.0
Stucco,265979.0
VinylSd,265900.0
VinylSd,265000.0
VinylSd,264561.0
VinylSd,264132.0
VinylSd,263435.0
VinylSd,263000.0
VinylSd,262500.0
HdBoard,262500.0
HdBoard,262280.0
ImStucc,262000.0
VinylSd,261500.0
VinylSd,260400.0
HdBoard,260000.0
VinylSd,260000.0
CmentBd,260000.0
HdBoard,260000.0
Plywood,260000.0
VinylSd,260000.0
Wd Sdng,259500.0
VinylSd,259000.0
VinylSd,258000.0
CmentBd,257500.0
VinylSd,257000.0
VinylSd,256300.0
Plywood,256000.0
Wd Sdng,256000.0
CmentBd,255900.0
VinylSd,255500.0
VinylSd,255000.0
VinylSd,255000.0
VinylSd,254900.0
MetalSd,254000.0
VinylSd,253293.0
VinylSd,253000.0
VinylSd,252678.0
VinylSd,252000.0
CmentBd,251000.0
VinylSd,250580.0
VinylSd,250000.0
VinylSd,250000.0
VinylSd,250000.0
HdBoard,250000.0
BrkFace,250000.0
MetalSd,250000.0
CmentBd,250000.0
Plywood,250000.0
VinylSd,249700.0
VinylSd,248900.0
VinylSd,248328.0
VinylSd,248000.0
HdBoard,248000.0
VinylSd,246578.0
BrkFace,245500.0
VinylSd,245350.0
VinylSd,245000.0
VinylSd,244600.0
MetalSd,244400.0
Plywood,244000.0
VinylSd,244000.0
BrkFace,244000.0
Wd Shng,243000.0
Wd Sdng,242000.0
Wd Sdng,242000.0
Wd Sdng,241500.0
Plywood,241500.0
CmentBd,241000.0
HdBoard,240000.0
HdBoard,240000.0
Wd Sdng,240000.0
VinylSd,240000.0
VinylSd,240000.0
VinylSd,240000.0
VinylSd,239900.0
VinylSd,239799.0
VinylSd,239686.0
VinylSd,239500.0
HdBoard,239000.0
VinylSd,239000.0
Stucco,239000.0
VinylSd,239000.0
Wd Sdng,239000.0
VinylSd,239000.0
HdBoard,238000.0
Plywood,237500.0
VinylSd,237000.0
VinylSd,237000.0
CmentBd,236500.0
VinylSd,236500.0
VinylSd,236000.0
MetalSd,236000.0
VinylSd,235128.0
Plywood,235000.0
Stucco,235000.0
VinylSd,235000.0
Plywood,235000.0
Stucco,235000.0
VinylSd,235000.0
VinylSd,235000.0
MetalSd,234000.0
VinylSd,234000.0
VinylSd,233230.0
VinylSd,233170.0
VinylSd,233000.0
VinylSd,232600.0
VinylSd,232000.0
VinylSd,232000.0
VinylSd,232000.0
VinylSd,231500.0
VinylSd,231500.0
VinylSd,230500.0
VinylSd,230000.0
VinylSd,230000.0
VinylSd,230000.0
VinylSd,230000.0
Stone,230000.0
VinylSd,230000.0
Stucco,230000.0
VinylSd,230000.0
CmentBd,229456.0
HdBoard,229000.0
Plywood,228950.0
Plywood,228500.0
VinylSd,228500.0
Plywood,228000.0
VinylSd,228000.0
VinylSd,227875.0
VinylSd,227680.0
VinylSd,227000.0
VinylSd,227000.0
VinylSd,227000.0
VinylSd,226700.0
VinylSd,226000.0
MetalSd,226000.0
VinylSd,226000.0
AsbShng,225000.0
Plywood,225000.0
MetalSd,225000.0
CmentBd,225000.0
VinylSd,225000.0
VinylSd,225000.0
VinylSd,224900.0
VinylSd,224900.0
VinylSd,224500.0
VinylSd,224000.0
HdBoard,224000.0
VinylSd,223500.0
Wd Sdng,223500.0
Plywood,223000.0
VinylSd,222500.0
VinylSd,222500.0
MetalSd,222000.0
Plywood,222000.0
HdBoard,222000.0
VinylSd,221500.0
VinylSd,221000.0
VinylSd,221000.0
VinylSd,220000.0
VinylSd,220000.0
VinylSd,220000.0
HdBoard,220000.0
MetalSd,220000.0
VinylSd,219500.0
VinylSd,219500.0
Wd Sdng,219500.0
VinylSd,219210.0
Plywood,218000.0
Plywood,217500.0
Wd Sdng,217000.0
VinylSd,217000.0
VinylSd,216837.0
VinylSd,216500.0
VinylSd,216000.0
VinylSd,215200.0
Plywood,215000.0
VinylSd,215000.0
CmentBd,215000.0
VinylSd,215000.0
VinylSd,215000.0
VinylSd,215000.0
VinylSd,215000.0
Plywood,215000.0
VinylSd,214900.0
Wd Shng,214500.0
VinylSd,214000.0
VinylSd,214000.0
VinylSd,214000.0
VinylSd,214000.0
VinylSd,214000.0
VinylSd,213500.0
CmentBd,213500.0
VinylSd,213490.0
VinylSd,213250.0
VinylSd,213000.0
HdBoard,213000.0
VinylSd,213000.0
VinylSd,212900.0
VinylSd,212000.0
HdBoard,212000.0
VinylSd,212000.0
Plywood,211000.0
VinylSd,211000.0
VinylSd,210000.0
VinylSd,210000.0
VinylSd,210000.0
Wd Sdng,210000.0
Plywood,210000.0
VinylSd,209500.0
VinylSd,208900.0
VinylSd,208900.0
VinylSd,208500.0
VinylSd,208300.0
MetalSd,207500.0
VinylSd,207500.0
VinylSd,207500.0
HdBoard,207500.0
Plywood,207500.0
VinylSd,207000.0
Wd Sdng,207000.0
HdBoard,206900.0
VinylSd,206300.0
VinylSd,206000.0
CmentBd,205950.0
Plywood,205000.0
VinylSd,205000.0
Wd Sdng,205000.0
VinylSd,205000.0
HdBoard,205000.0
Plywood,205000.0
VinylSd,204900.0
VinylSd,204750.0
VinylSd,204000.0
VinylSd,204000.0
VinylSd,203000.0
VinylSd,203000.0
VinylSd,202900.0
VinylSd,202665.0
VinylSd,202500.0
Wd Sdng,202500.0
VinylSd,202500.0
VinylSd,201800.0
VinylSd,201000.0
HdBoard,201000.0
VinylSd,201000.0
Stone,200624.0
VinylSd,200500.0
MetalSd,200500.0
VinylSd,200141.0
Stucco,200100.0
HdBoard,200000.0
VinylSd,200000.0
VinylSd,200000.0
VinylSd,200000.0
VinylSd,200000.0
VinylSd,200000.0
VinylSd,200000.0
MetalSd,200000.0
VinylSd,199900.0
VinylSd,199900.0
VinylSd,198900.0
HdBoard,198500.0
Plywood,197900.0
VinylSd,197900.0
HdBoard,197900.0
Plywood,197500.0
Plywood,197500.0
VinylSd,197000.0
Plywood,197000.0
MetalSd,197000.0
HdBoard,197000.0
VinylSd,196500.0
HdBoard,196500.0
MetalSd,196000.0
VinylSd,196000.0
ImStucc,196000.0
VinylSd,195400.0
Plywood,195000.0
VinylSd,195000.0
VinylSd,195000.0
VinylSd,194700.0
HdBoard,194500.0
VinylSd,194500.0
MetalSd,194500.0
VinylSd,194201.0
VinylSd,194000.0
VinylSd,194000.0
Plywood,194000.0
VinylSd,193879.0
VinylSd,193500.0
HdBoard,193500.0
Plywood,193000.0
VinylSd,193000.0
VinylSd,193000.0
VinylSd,192500.0
VinylSd,192500.0
VinylSd,192140.0
VinylSd,192000.0
Plywood,192000.0
VinylSd,192000.0
VinylSd,192000.0
VinylSd,192000.0
VinylSd,191000.0
VinylSd,191000.0
VinylSd,191000.0
MetalSd,191000.0
Plywood,190000.0
HdBoard,190000.0
Wd Sdng,190000.0
Wd Sdng,190000.0
HdBoard,190000.0
Plywood,190000.0
Plywood,190000.0
VinylSd,190000.0
VinylSd,190000.0
Plywood,190000.0
VinylSd,190000.0
Wd Sdng,190000.0
HdBoard,190000.0
Wd Sdng,189950.0
HdBoard,189000.0
Wd Shng,189000.0
VinylSd,189000.0
VinylSd,189000.0
Wd Sdng,189000.0
Wd Sdng,189000.0
Stucco,188700.0
VinylSd,188500.0
Plywood,188000.0
VinylSd,188000.0
HdBoard,188000.0
VinylSd,187750.0
Plywood,187500.0
VinylSd,187500.0
HdBoard,187500.0
HdBoard,187500.0
HdBoard,187500.0
HdBoard,187500.0
VinylSd,187100.0
HdBoard,187000.0
Plywood,187000.0
Wd Sdng,187000.0
MetalSd,186700.0
VinylSd,186500.0
VinylSd,186500.0
VinylSd,186000.0
VinylSd,185900.0
VinylSd,185850.0
BrkFace,185750.0
VinylSd,185500.0
VinylSd,185000.0
VinylSd,185000.0
VinylSd,185000.0
VinylSd,185000.0
Wd Sdng,185000.0
Plywood,185000.0
VinylSd,185000.0
HdBoard,185000.0
HdBoard,185000.0
VinylSd,185000.0
VinylSd,184900.0
CmentBd,184750.0
VinylSd,184100.0
Plywood,184000.0
HdBoard,184000.0
Wd Sdng,184000.0
VinylSd,184000.0
MetalSd,183900.0
VinylSd,183500.0
VinylSd,183200.0
VinylSd,183000.0
MetalSd,182900.0
CmentBd,182000.0
Wd Sdng,181900.0
MetalSd,181500.0
VinylSd,181134.0
HdBoard,181000.0
VinylSd,181000.0
HdBoard,181000.0
VinylSd,181000.0
VinylSd,181000.0
VinylSd,181000.0
MetalSd,181000.0
Plywood,180500.0
HdBoard,180500.0
Wd Sdng,180500.0
HdBoard,180500.0
Plywood,180000.0
VinylSd,180000.0
Plywood,180000.0
Plywood,180000.0
VinylSd,180000.0
HdBoard,180000.0
VinylSd,180000.0
Plywood,180000.0
Wd Shng,180000.0
HdBoard,180000.0
VinylSd,179900.0
VinylSd,179900.0
HdBoard,179900.0
BrkFace,179900.0
HdBoard,179900.0
VinylSd,179665.0
VinylSd,179600.0
VinylSd,179540.0
Wd Sdng,179500.0
MetalSd,179400.0
ImStucc,179200.0
HdBoard,179200.0
VinylSd,179000.0
Plywood,179000.0
VinylSd,179000.0
VinylSd,178900.0
VinylSd,178740.0
CmentBd,178400.0
HdBoard,178000.0
Wd Sdng,178000.0
VinylSd,178000.0
VinylSd,178000.0
VinylSd,178000.0
VinylSd,178000.0
VinylSd,178000.0
VinylSd,177500.0
Wd Sdng,177500.0
MetalSd,177500.0
VinylSd,177000.0
MetalSd,177000.0
Plywood,177000.0
Plywood,177000.0
Stone,177000.0
MetalSd,176500.0
VinylSd,176500.0
VinylSd,176485.0
VinylSd,176432.0
MetalSd,176000.0
Wd Sdng,176000.0
VinylSd,176000.0
HdBoard,176000.0
HdBoard,176000.0
MetalSd,176000.0
VinylSd,176000.0
VinylSd,176000.0
VinylSd,175900.0
VinylSd,175900.0
MetalSd,175500.0
HdBoard,175500.0
Wd Shng,175500.0
AsphShn,175000.0
HdBoard,175000.0
Plywood,175000.0
HdBoard,175000.0
HdBoard,175000.0
HdBoard,175000.0
Wd Sdng,175000.0
VinylSd,175000.0
VinylSd,175000.0
HdBoard,174900.0
MetalSd,174500.0
VinylSd,174000.0
Plywood,174000.0
HdBoard,174000.0
VinylSd,174000.0
VinylSd,174000.0
MetalSd,174000.0
Wd Sdng,174000.0
VinylSd,173900.0
VinylSd,173733.0
VinylSd,173500.0
HdBoard,173000.0
VinylSd,173000.0
HdBoard,173000.0
Wd Sdng,173000.0
Wd Shng,173000.0
HdBoard,173000.0
VinylSd,173000.0
VinylSd,172785.0
MetalSd,172500.0
MetalSd,172500.0
Wd Shng,172500.0
MetalSd,172500.0
HdBoard,172500.0
VinylSd,172400.0
HdBoard,172000.0
MetalSd,171900.0
Wd Shng,171750.0
Plywood,171500.0
VinylSd,171000.0
HdBoard,171000.0
HdBoard,171000.0
Plywood,171000.0
HdBoard,171000.0
VinylSd,170000.0
HdBoard,170000.0
VinylSd,170000.0
Plywood,170000.0
Wd Sdng,170000.0
HdBoard,170000.0
Plywood,170000.0
MetalSd,170000.0
VinylSd,169990.0
HdBoard,169900.0
Stucco,169500.0
VinylSd,169500.0
Plywood,169000.0
VinylSd,169000.0
Wd Shng,169000.0
HdBoard,168500.0
MetalSd,168500.0
Wd Sdng,168500.0
MetalSd,168000.0
Wd Sdng,168000.0
Wd Sdng,168000.0
MetalSd,168000.0
HdBoard,167900.0
Plywood,167900.0
HdBoard,167500.0
HdBoard,167500.0
VinylSd,167500.0
VinylSd,167240.0
HdBoard,167000.0
Plywood,167000.0
MetalSd,167000.0
Plywood,167000.0
Wd Sdng,166000.0
HdBoard,166000.0
HdBoard,165600.0
BrkFace,165500.0
Plywood,165500.0
AsbShng,165500.0
VinylSd,165400.0
VinylSd,165150.0
Plywood,165000.0
Plywood,165000.0
HdBoard,165000.0
Plywood,165000.0
MetalSd,165000.0
Wd Sdng,165000.0
VinylSd,165000.0
VinylSd,165000.0
VinylSd,164990.0
Wd Sdng,164900.0
MetalSd,164700.0
VinylSd,164500.0
VinylSd,164500.0
VinylSd,164000.0
MetalSd,164000.0
Wd Sdng,164000.0
VinylSd,163990.0
