HouseStyle,SalePrice
2Story,755000.0
2Story,745000.0
2Story,625000.0
1Story,611657.0
2Story,582933.0
2Story,556581.0
1Story,555000.0
2Story,538000.0
1Story,501837.0
2Story,485000.0
2.5Fin,475000.0
1Story,466500.0
1Story,465000.0
2Story,451950.0
2Story,446261.0
1Story,440000.0
2Story,438780.0
2Story,437154.0
1Story,430000.0
2Story,426000.0
2Story,424870.0
1Story,423000.0
1Story,415298.0
2Story,412500.0
1.5Fin,410000.0
2Story,403000.0
1Story,402861.0
2Story,402000.0
1Story,395192.0
1Story,395000.0
1Story,394617.0
1Story,394432.0
1Story,392500.0
1Story,392000.0
1Story,386250.0
1Story,385000.0
1Story,385000.0
2Story,383970.0
1.5Fin,381000.0
2Story,380000.0
1Story,378500.0
1Story,377500.0
1Story,377426.0
1Story,375000.0
1Story,374000.0
1Story,372500.0
1Story,372402.0
1Story,370878.0
1Story,369900.0
1Story,367294.0
2Story,361919.0
1Story,360000.0
2Story,359100.0
2Story,354000.0
1Story,350000.0
2Story,350000.0
2Story,348000.0
2Story,345000.0
SLvl,345000.0
2Story,342643.0
2Story,341000.0
2Story,340000.0
2Story,340000.0
2Story,339750.0
1Story,337500.0
2Story,337000.0
2Story,336000.0
2Story,335000.0
2Story,335000.0
1Story,335000.0
2Story,333168.0
1Story,328900.0
2Story,328000.0
1Story,326000.0
2Story,325624.0
2Story,325300.0
2Story,325000.0
2.5Unf,325000.0
2Story,325000.0
1Story,325000.0
1Story,324000.0
2Story,320000.0
2Story,320000.0
1Story,320000.0
1Story,320000.0
1Story,319900.0
1Story,319000.0
1Story,318061.0
1Story,318000.0
1Story,318000.0
2Story,317000.0
1.5Fin,316600.0
2Story,315750.0
1Story,315500.0
2Story,315000.0
2Story,315000.0
1Story,315000.0
1Story,315000.0
1Story,314813.0
2Story,313000.0
1Story,312500.0
1Story,311872.0
1.5Fin,311500.0
2Story,310000.0
2Story,310000.0
2Story,309000.0
1Story,307000.0
1Story,306000.0
1Story,305900.0
2Story,305000.0
2Story,303477.0
1Story,302000.0
2Story,302000.0
1Story,301500.0
2Story,301000.0
2Story,299800.0
1Story,297000.0
1Story,295493.0
2.5Fin,295000.0
2Story,294000.0
1Story,293077.0
2Story,290000.0
2Story,290000.0
2Story,290000.0
1Story,290000.0
2Story,290000.0
1Story,289000.0
1Story,287090.0
1Story,287000.0
2Story,287000.0
1Story,286000.0
1Story,285000.0
2Story,285000.0
1.5Fin,285000.0
1Story,284000.0
2Story,284000.0
1Story,283463.0
1Story,282922.0
2Story,281213.0
2Story,281000.0
2Story,280000.0
2Story,280000.0
1Story,280000.0
1Story,280000.0
1Story,279500.0
1Story,278000.0
1Story,278000.0
1Story,277500.0
2Story,277000.0
1.5Fin,277000.0
2Story,276000.0
2Story,275500.0
SLvl,275000.0
2Story,275000.0
1Story,275000.0
1Story,275000.0
1Story,275000.0
SLvl,274970.0
1Story,274900.0
2Story,274725.0
2Story,274300.0
1Story,274000.0
1Story,272000.0
2Story,272000.0
1Story,271900.0
1Story,271000.0
2Story,271000.0
2Story,270000.0
1Story,270000.0
1Story,270000.0
2Story,269790.0
2Story,269500.0
2Story,268000.0
1Story,268000.0
2Story,267000.0
2Story,266500.0
2Story,266000.0
1Story,266000.0
2Story,265979.0
1Story,265900.0
2Story,265000.0
1Story,264561.0
1Story,264132.0
2Story,263435.0
2Story,263000.0
1Story,262500.0
1Story,262500.0
2Story,262280.0
1Story,262000.0
2Story,261500.0
1Story,260400.0
2Story,260000.0
1Story,260000.0
2Story,260000.0
2Story,260000.0
1Story,260000.0
1Story,260000.0
2Story,259500.0
1Story,259000.0
2Story,258000.0
1Story,257500.0
1Story,257000.0
1Story,256300.0
1Story,256000.0
1.5Fin,256000.0
2Story,255900.0
1Story,255500.0
1Story,255000.0
2Story,255000.0
2Story,254900.0
1Story,254000.0
1Story,253293.0
2Story,253000.0
2Story,252678.0
2Story,252000.0
1Story,251000.0
1Story,250580.0
2Story,250000.0
2Story,250000.0
1Story,250000.0
2Story,250000.0
1.5Fin,250000.0
2Story,250000.0
2Story,250000.0
2Story,250000.0
1Story,249700.0
1Story,248900.0
1Story,248328.0
2Story,248000.0
2Story,248000.0
1Story,246578.0
1Story,245500.0
1Story,245350.0
1Story,245000.0
1Story,244600.0
2Story,244400.0
1Story,244000.0
2Story,244000.0
1Story,244000.0
1Story,243000.0
SLvl,242000.0
1Story,242000.0
1Story,241500.0
1Story,241500.0
2Story,241000.0
2Story,240000.0
2Story,240000.0
1.5Fin,240000.0
1Story,240000.0
1Story,240000.0
2Story,240000.0
2Story,239900.0
2Story,239799.0
1.5Fin,239686.0
2Story,239500.0
2Story,239000.0
2Story,239000.0
2Story,239000.0
1Story,239000.0
2Story,239000.0
1Story,239000.0
2Story,238000.0
1Story,237500.0
2Story,237000.0
2Story,237000.0
1Story,236500.0
1Story,236500.0
2Story,236000.0
2Story,236000.0
1Story,235128.0
1Story,235000.0
2Story,235000.0
1Story,235000.0
2Story,235000.0
2Story,235000.0
2Story,235000.0
1Story,235000.0
2Story,234000.0
1Story,234000.0
2Story,233230.0
1Story,233170.0
2Story,233000.0
1Story,232600.0
1Story,232000.0
1Story,232000.0
1Story,232000.0
2Story,231500.0
2Story,231500.0
2Story,230500.0
1Story,230000.0
2Story,230000.0
2Story,230000.0
1Story,230000.0
1Story,230000.0
1Story,230000.0
2Story,230000.0
2Story,230000.0
1Story,229456.0
1.5Fin,229000.0
1.5Fin,228950.0
2Story,228500.0
2Story,228500.0
1Story,228000.0
2Story,228000.0
2Story,227875.0
1Story,227680.0
2Story,227000.0
1Story,227000.0
1Story,227000.0
2Story,226700.0
1Story,226000.0
2Story,226000.0
2Story,226000.0
1.5Fin,225000.0
2Story,225000.0
2Story,225000.0
1Story,225000.0
2Story,225000.0
2Story,225000.0
1Story,224900.0
2Story,224900.0
2Story,224500.0
1Story,224000.0
1Story,224000.0
2Story,223500.0
2Story,223500.0
1Story,223000.0
2Story,222500.0
2Story,222500.0
1Story,222000.0
1Story,222000.0
2Story,222000.0
1Story,221500.0
1Story,221000.0
2Story,221000.0
1Story,220000.0
1Story,220000.0
1Story,220000.0
2Story,220000.0
1.5Fin,220000.0
2Story,219500.0
2Story,219500.0
2Story,219500.0
2Story,219210.0
1Story,218000.0
1Story,217500.0
1Story,217000.0
1Story,217000.0
1Story,216837.0
2Story,216500.0
2Story,216000.0
2Story,215200.0
1Story,215000.0
2Story,215000.0
1Story,215000.0
2Story,215000.0
1Story,215000.0
2Story,215000.0
1Story,215000.0
2Story,215000.0
2Story,214900.0
2.5Unf,214500.0
1Story,214000.0
1Story,214000.0
1Story,214000.0
2Story,214000.0
2Story,214000.0
2Story,213500.0
1Story,213500.0
1Story,213490.0
1Story,213250.0
1Story,213000.0
2Story,213000.0
1Story,213000.0
1Story,212900.0
2Story,212000.0
1Story,212000.0
2Story,212000.0
2Story,211000.0
2Story,211000.0
1Story,210000.0
2Story,210000.0
2Story,210000.0
1.5Fin,210000.0
1Story,210000.0
1Story,209500.0
1Story,208900.0
1Story,208900.0
2Story,208500.0
1Story,208300.0
1Story,207500.0
2Story,207500.0
1Story,207500.0
2Story,207500.0
1Story,207500.0
1Story,207000.0
1.5Fin,207000.0
2Story,206900.0
SFoyer,206300.0
1Story,206000.0
2Story,205950.0
1Story,205000.0
2Story,205000.0
1.5Fin,205000.0
1Story,205000.0
2Story,205000.0
2Story,205000.0
1Story,204900.0
2Story,204750.0
1Story,204000.0
2Story,204000.0
1Story,203000.0
1Story,203000.0
2Story,202900.0
1Story,202665.0
1Story,202500.0
1Story,202500.0
1Story,202500.0
2Story,201800.0
1Story,201000.0
2Story,201000.0
1Story,201000.0
1Story,200624.0
2Story,200500.0
1.5Fin,200500.0
1Story,200141.0
2Story,200100.0
2Story,200000.0
1.5Fin,200000.0
2Story,200000.0
2.5Fin,200000.0
2Story,200000.0
1Story,200000.0
2Story,200000.0
2Story,200000.0
2Story,199900.0
1Story,199900.0
1Story,198900.0
SFoyer,198500.0
2Story,197900.0
2Story,197900.0
SLvl,197900.0
1Story,197500.0
2Story,197500.0
2Story,197000.0
2.5Fin,197000.0
1Story,197000.0
SLvl,197000.0
2Story,196500.0
2Story,196500.0
1Story,196000.0
1Story,196000.0
1Story,196000.0
1Story,195400.0
2Story,195000.0
2Story,195000.0
2Story,195000.0
1Story,194700.0
2Story,194500.0
1Story,194500.0
2Story,194500.0
1Story,194201.0
1Story,194000.0
1Story,194000.0
SLvl,194000.0
1Story,193879.0
2Story,193500.0
1Story,193500.0
1Story,193000.0
2Story,193000.0
2Story,193000.0
1Story,192500.0
2Story,192500.0
2Story,192140.0
1Story,192000.0
2Story,192000.0
2Story,192000.0
1Story,192000.0
1Story,192000.0
1Story,191000.0
2Story,191000.0
1Story,191000.0
2.5Fin,191000.0
1Story,190000.0
2Story,190000.0
1Story,190000.0
1Story,190000.0
2Story,190000.0
1Story,190000.0
2Story,190000.0
2Story,190000.0
1Story,190000.0
1.5Fin,190000.0
SLvl,190000.0
1Story,190000.0
2Story,190000.0
1.5Fin,189950.0
1Story,189000.0
2Story,189000.0
1Story,189000.0
2Story,189000.0
2Story,189000.0
2Story,189000.0
2Story,188700.0
2Story,188500.0
1Story,188000.0
2Story,188000.0
2Story,188000.0
1Story,187750.0
SLvl,187500.0
SLvl,187500.0
2Story,187500.0
1.5Fin,187500.0
1Story,187500.0
2Story,187500.0
1Story,187100.0
2Story,187000.0
SLvl,187000.0
2Story,187000.0
1Story,186700.0
2Story,186500.0
2Story,186500.0
1Story,186000.0
2Story,185900.0
1Story,185850.0
1Story,185750.0
1Story,185500.0
2Story,185000.0
2Story,185000.0
2Story,185000.0
1Story,185000.0
1.5Fin,185000.0
2Story,185000.0
1Story,185000.0
1Story,185000.0
2Story,185000.0
1Story,185000.0
1Story,184900.0
2Story,184750.0
SLvl,184100.0
1Story,184000.0
2Story,184000.0
1.5Fin,184000.0
2Story,184000.0
2Story,183900.0
2Story,183500.0
2Story,183200.0
2Story,183000.0
1Story,182900.0
1Story,182000.0
1Story,181900.0
1Story,181500.0
1Story,181134.0
1Story,181000.0
2Story,181000.0
1Story,181000.0
1Story,181000.0
2Story,181000.0
2Story,181000.0
1Story,181000.0
1Story,180500.0
1Story,180500.0
2Story,180500.0
SLvl,180500.0
1Story,180000.0
SLvl,180000.0
SLvl,180000.0
1Story,180000.0
2Story,180000.0
1Story,180000.0
2Story,180000.0
1Story,180000.0
1Story,180000.0
1Story,180000.0
1Story,179900.0
2Story,179900.0
1Story,179900.0
SLvl,179900.0
2Story,179900.0
2Story,179665.0
1Story,179600.0
2Story,179540.0
2.5Fin,179500.0
2Story,179400.0
1Story,179200.0
1Story,179200.0
2Story,179000.0
1Story,179000.0
1Story,179000.0
2Story,178900.0
1Story,178740.0
SFoyer,178400.0
2Story,178000.0
2Story,178000.0
2Story,178000.0
2Story,178000.0
2Story,178000.0
1Story,178000.0
SLvl,178000.0
1Story,177500.0
2Story,177500.0
2Story,177500.0
2Story,177000.0
2Story,177000.0
2Story,177000.0
SLvl,177000.0
1.5Fin,177000.0
1Story,176500.0
2Story,176500.0
1Story,176485.0
1Story,176432.0
2Story,176000.0
SLvl,176000.0
1Story,176000.0
1Story,176000.0
1Story,176000.0
2Story,176000.0
1Story,176000.0
2Story,176000.0
2Story,175900.0
1Story,175900.0
1Story,175500.0
1Story,175500.0
2Story,175500.0
2Story,175000.0
1Story,175000.0
1Story,175000.0
SLvl,175000.0
2Story,175000.0
SLvl,175000.0
1.5Fin,175000.0
1Story,175000.0
2Story,175000.0
SLvl,174900.0
2Story,174500.0
2Story,174000.0
1Story,174000.0
2Story,174000.0
2Story,174000.0
1Story,174000.0
2Story,174000.0
1Story,174000.0
2Story,173900.0
2Story,173733.0
2Story,173500.0
SLvl,173000.0
2Story,173000.0
1Story,173000.0
1Story,173000.0
2Story,173000.0
2Story,173000.0
2Story,173000.0
2Story,172785.0
2Story,172500.0
1.5Fin,172500.0
1Story,172500.0
2Story,172500.0
2Story,172500.0
2Story,172400.0
2Story,172000.0
2Story,171900.0
1Story,171750.0
1Story,171500.0
1Story,171000.0
2Story,171000.0
SFoyer,171000.0
SLvl,171000.0
2Story,171000.0
1Story,170000.0
1Story,170000.0
SLvl,170000.0
1Story,170000.0
1.5Fin,170000.0
1Story,170000.0
SFoyer,170000.0
SLvl,170000.0
1Story,169990.0
SLvl,169900.0
1.5Fin,169500.0
2Story,169500.0
2Story,169000.0
2Story,169000.0
1.5Fin,169000.0
SLvl,168500.0
2Story,168500.0
SLvl,168500.0
2Story,168000.0
1Story,168000.0
2Story,168000.0
1Story,168000.0
2Story,167900.0
1Story,167900.0
2Story,167500.0
1Story,167500.0
SLvl,167500.0
1Story,167240.0
1Story,167000.0
1Story,167000.0
1Story,167000.0
1Story,167000.0
1.5Fin,166000.0
1Story,166000.0
2Story,165600.0
1Story,165500.0
SFoyer,165500.0
SLvl,165500.0
2Story,165400.0
2Story,165150.0
SLvl,165000.0
1Story,165000.0
1Story,165000.0
1Story,165000.0
2Story,165000.0
2Story,165000.0
2Story,165000.0
1Story,165000.0
1Story,164990.0
1Story,164900.0
2Story,164700.0
2Story,164500.0
SLvl,164500.0
1Story,164000.0
2.5Unf,164000.0
1.5Fin,164000.0
2Story,163990.0
SLvl,163900.0
1Story,163500.0
1Story,163500.0
1Story,163000.0
2.5Unf,163000.0
1Story,163000.0
1.5Fin,163000.0
1.5Fin,162900.0
2Story,162900.0
1Story,162500.0
1Story,162000.0
2Story,162000.0
1Story,162000.0
2Story,162000.0
2Story,161750.0
1Story,161500.0
1.5Fin,161500.0
2Story,161000.0
2Story,161000.0
1Story,160200.0
1Story,160000.0
1.5Fin,160000.0
1Story,160000.0
1.5Fin,160000.0
1.5Fin,160000.0
SLvl,160000.0
2Story,160000.0
1Story,160000.0
2Story,160000.0
2Story,160000.0
1Story,160000.0
1Story,160000.0
SLvl,159950.0
1Story,159895.0
2Story,159500.0
2Story,159500.0
1Story,159500.0
1.5Fin,159434.0
1Story,159000.0
1.5Fin,159000.0
1Story,159000.0
1.5Fin,159000.0
2Story,158900.0
1Story,158500.0
1Story,158000.0
SLvl,158000.0
SLvl,158000.0
1Story,158000.0
SLvl,158000.0
2Story,158000.0
1Story,157900.0
1Story,157900.0
1Story,157500.0
2Story,157500.0
1Story,157000.0
1Story,157000.0
1Story,157000.0
1Story,157000.0
1Story,157000.0
2Story,157000.0
2Story,156932.0
1Story,156500.0
1Story,156000.0
SFoyer,156000.0
1Story,156000.0
1Story,156000.0
1Story,155900.0
2Story,155835.0
1Story,155000.0
2Story,155000.0
1Story,155000.0
2Story,155000.0
2Story,155000.0
1Story,155000.0
1Story,155000.0
2Story,155000.0
SLvl,155000.0
2Story,155000.0
2Story,155000.0
1Story,155000.0
1Story,155000.0
1Story,155000.0
1.5Fin,154900.0
1Story,154500.0
2Story,154300.0
1Story,154000.0
2Story,154000.0
1Story,154000.0
2Story,154000.0
1Story,154000.0
1Story,153900.0
1.5Fin,153900.0
2Story,153575.0
1Story,153500.0
1Story,153500.0
1Story,153500.0
SFoyer,153337.0
1Story,153000.0
SLvl,153000.0
1Story,153000.0
1Story,152000.0
1.5Fin,152000.0
1Story,152000.0
2Story,152000.0
1Story,152000.0
1Story,152000.0
1Story,151500.0
2Story,151400.0
SLvl,151000.0
2Story,151000.0
2Story,151000.0
2Story,151000.0
1Story,151000.0
1Story,150900.0
1Story,150750.0
1Story,150500.0
1Story,150000.0
1Story,150000.0
1Story,150000.0
1Story,150000.0
1Story,149900.0
SLvl,149900.0
1Story,149900.0
1Story,149900.0
1Story,149700.0
2Story,149500.0
1Story,149500.0
1Story,149350.0
1Story,149300.0
1Story,149000.0
1Story,149000.0
2Story,149000.0
1.5Fin,149000.0
2Story,148800.0
2Story,148500.0
2Story,148500.0
1Story,148500.0
1Story,148000.0
1Story,148000.0
SFoyer,148000.0
SLvl,148000.0
SLvl,148000.0
SFoyer,148000.0
1Story,148000.0
1Story,147500.0
2Story,147400.0
2Story,147000.0
1Story,147000.0
2Story,147000.0
1Story,147000.0
SLvl,147000.0
SFoyer,147000.0
1Story,147000.0
1Story,147000.0
1Story,147000.0
SLvl,146800.0
2Story,146500.0
2Story,146000.0
1Story,146000.0
2Story,146000.0
1.5Fin,145900.0
1Story,145500.0
1Story,145250.0
1Story,145000.0
1Story,145000.0
1Story,145000.0
1.5Fin,145000.0
1Story,145000.0
1.5Fin,145000.0
1Story,145000.0
2Story,145000.0
2Story,145000.0
1Story,145000.0
1Story,145000.0
SLvl,145000.0
SLvl,145000.0
SLvl,145000.0
1Story,144900.0
1Story,144500.0
1Story,144500.0
2Story,144152.0
1Story,144000.0
SFoyer,144000.0
SFoyer,144000.0
1Story,144000.0
1Story,144000.0
1Story,144000.0
2.5Unf,144000.0
1.5Fin,144000.0
1Story,144000.0
1Story,144000.0
1Story,143900.0
1Story,143750.0
1Story,143500.0
1Story,143500.0
1Story,143250.0
1.5Fin,143000.0
1Story,143000.0
1Story,143000.0
1Story,143000.0
1Story,143000.0
1Story,143000.0
SLvl,143000.0
2Story,143000.0
1.5Fin,143000.0
1Story,143000.0
2Story,142953.0
1Story,142600.0
SLvl,142500.0
1Story,142500.0
1Story,142500.0
1Story,142125.0
1Story,142000.0
1Story,142000.0
1Story,142000.0
1Story,142000.0
1.5Fin,141500.0
1Story,141000.0
1Story,141000.0
1Story,141000.0
1Story,141000.0
1Story,141000.0
1.5Fin,141000.0
1Story,141000.0
1Story,141000.0
1.5Fin,140200.0
2Story,140000.0
2Story,140000.0
1Story,140000.0
1Story,140000.0
1.5Fin,140000.0
1Story,140000.0
1Story,140000.0
1Story,140000.0
1Story,140000.0
1Story,140000.0
2Story,140000.0
2Story,140000.0
2Story,140000.0
SLvl,140000.0
SLvl,140000.0
SFoyer,140000.0
1Story,140000.0
SFoyer,140000.0
1.5Fin,140000.0
1.5Fin,140000.0
1Story,139950.0
1Story,139900.0
1Story,139600.0
1.5Fin,139500.0
1.5Unf,139400.0
1Story,139400.0
1Story,139000.0
1Story,139000.0
1Story,139000.0
1Story,139000.0
1Story,139000.0
SLvl,139000.0
1.5Fin,139000.0
1Story,139000.0
1Story,139000.0
1.5Fin,139000.0
2Story,139000.0
2Story,138887.0
1Story,138800.0
1Story,138500.0
1Story,138500.0
1Story,138000.0
1Story,138000.0
1.5Fin,138000.0
1Story,137900.0
SFoyer,137500.0
SFoyer,137500.0
1Story,137500.0
SLvl,137500.0
2Story,137500.0
2Story,137500.0
1.5Fin,137450.0
2Story,137000.0
SFoyer,137000.0
1Story,137000.0
1Story,137000.0
2Story,137000.0
1Story,136905.0
1.5Fin,136900.0
1Story,136500.0
1Story,136500.0
1Story,136500.0
1.5Fin,136500.0
1Story,136500.0
1Story,136000.0
1.5Fin,136000.0
2Story,136000.0
SFoyer,135960.0
2Story,135900.0
1Story,135750.0
SLvl,135500.0
1.5Fin,135500.0
1.5Fin,135000.0
2Story,135000.0
1Story,135000.0
2Story,135000.0
1.5Fin,135000.0
1.5Fin,135000.0
SFoyer,135000.0
1Story,135000.0
1Story,135000.0
1Story,135000.0
1.5Fin,135000.0
1.5Fin,135000.0
1.5Unf,135000.0
1Story,135000.0
1Story,135000.0
1.5Fin,135000.0
1Story,135000.0
SFoyer,134900.0
1.5Fin,134900.0
1Story,134800.0
1Story,134500.0
SFoyer,134500.0
1Story,134450.0
1.5Fin,134432.0
1Story,134000.0
1Story,134000.0
1Story,134000.0
2.5Unf,133900.0
SFoyer,133900.0
1Story,133700.0
1Story,133500.0
1.5Fin,133000.0
SFoyer,133000.0
1.5Fin,133000.0
1Story,133000.0
1Story,133000.0
SFoyer,133000.0
1Story,132500.0
1Story,132500.0
1Story,132500.0
SLvl,132500.0
1.5Fin,132500.0
SLvl,132500.0
1Story,132250.0
1.5Unf,132000.0
1Story,132000.0
1Story,132000.0
1Story,132000.0
2Story,132000.0
1Story,132000.0
1.5Fin,131500.0
1Story,131500.0
1Story,131500.0
1Story,131400.0
1.5Fin,131000.0
1Story,131000.0
1.5Fin,131000.0
2Story,130500.0
1.5Fin,130500.0
1Story,130500.0
1Story,130250.0
SLvl,130000.0
2Story,130000.0
2Story,130000.0
1.5Fin,130000.0
SLvl,130000.0
1Story,130000.0
1Story,130000.0
1Story,130000.0
2Story,130000.0
1Story,130000.0
2Story,130000.0
1.5Fin,129900.0
1Story,129900.0
1Story,129900.0
1Story,129900.0
1Story,129500.0
1Story,129500.0
SFoyer,129500.0
2.5Unf,129500.0
1Story,129000.0
2Story,129000.0
1Story,129000.0
1Story,129000.0
1Story,129000.0
1Story,129000.0
1Story,129000.0
SFoyer,129000.0
1Story,128950.0
1Story,128900.0
1.5Fin,128500.0
1Story,128500.0
1Story,128500.0
1Story,128500.0
1Story,128200.0
1Story,128000.0
2Story,128000.0
2Story,128000.0
2.5Unf,128000.0
1Story,128000.0
1Story,128000.0
1.5Fin,128000.0
1.5Fin,127500.0
1Story,127500.0
1Story,127500.0
SFoyer,127500.0
1.5Fin,127500.0
1Story,127500.0
1Story,127000.0
1.5Fin,127000.0
1.5Fin,127000.0
1Story,127000.0
1.5Fin,127000.0
1Story,127000.0
2Story,127000.0
SLvl,127000.0
2Story,127000.0
1Story,126500.0
1Story,126175.0
1.5Fin,126000.0
1.5Fin,126000.0
1Story,126000.0
1Story,125500.0
1.5Fin,125500.0
1.5Fin,125500.0
2Story,125500.0
1Story,125000.0
1Story,125000.0
1Story,125000.0
1Story,125000.0
SLvl,125000.0
1Story,125000.0
1Story,125000.0
1.5Fin,125000.0
1Story,125000.0
2Story,125000.0
1Story,124900.0
1.5Fin,124900.0
1Story,124500.0
2Story,124500.0
1Story,124500.0
1Story,124500.0
1Story,124000.0
2Story,124000.0
2Story,124000.0
1Story,124000.0
1Story,124000.0
1Story,124000.0
1Story,123600.0
1Story,123500.0
1Story,123000.0
1Story,123000.0
1Story,123000.0
SFoyer,123000.0
1.5Fin,122900.0
2Story,122500.0
2Story,122500.0
1Story,122000.0
1Story,122000.0
2.5Unf,122000.0
2Story,122000.0
1.5Fin,121600.0
1Story,121500.0
1.5Unf,121000.0
1Story,120500.0
1Story,120500.0
1Story,120500.0
1Story,120500.0
1Story,120000.0
2Story,120000.0
1.5Fin,120000.0
1Story,120000.0
1Story,120000.0
1Story,120000.0
1.5Fin,120000.0
1.5Fin,119900.0
1Story,119900.0
1Story,119750.0
1.5Fin,119500.0
1Story,119500.0
1Story,119500.0
2Story,119500.0
1Story,119200.0
1Story,119000.0
1.5Fin,119000.0
1.5Unf,119000.0
1.5Fin,119000.0
1Story,119000.0
1Story,119000.0
1Story,119000.0
1Story,118964.0
1Story,118858.0
1.5Fin,118500.0
SFoyer,118500.0
1Story,118500.0
2.5Fin,118500.0
1Story,118400.0
1.5Unf,118000.0
2Story,118000.0
1Story,118000.0
1Story,118000.0
2Story,118000.0
1Story,118000.0
1Story,117500.0
2Story,117500.0
1.5Fin,117000.0
1Story,117000.0
1.5Fin,117000.0
1.5Fin,117000.0
1.5Fin,116900.0
1Story,116500.0
1Story,116050.0
1.5Fin,116000.0
1.5Fin,116000.0
1Story,116000.0
1Story,115000.0
1.5Fin,115000.0
1Story,115000.0
1.5Fin,115000.0
1.5Fin,115000.0
1Story,115000.0
2Story,115000.0
1Story,115000.0
1Story,115000.0
1.5Fin,115000.0
1Story,115000.0
1Story,115000.0
2Story,114504.0
1.5Fin,114500.0
1Story,114500.0
2Story,113000.0
1.5Fin,113000.0
1Story,113000.0
2Story,113000.0
1.5Unf,113000.0
1Story,113000.0
1Story,112500.0
1Story,112500.0
1.5Fin,112000.0
2Story,112000.0
1Story,112000.0
1.5Fin,112000.0
1Story,112000.0
1Story,112000.0
2Story,112000.0
1Story,111250.0
1Story,111000.0
1Story,110500.0
1Story,110500.0
1Story,110000.0
2Story,110000.0
1.5Fin,110000.0
1.5Fin,110000.0
1Story,110000.0
1.5Fin,110000.0
1Story,110000.0
1Story,110000.0
1Story,110000.0
1Story,110000.0
1Story,110000.0
1Story,110000.0
1Story,110000.0
1Story,109900.0
1Story,109900.0
1Story,109900.0
1Story,109500.0
1Story,109500.0
1.5Unf,109500.0
1Story,109500.0
1Story,109008.0
1Story,109000.0
1.5Fin,109000.0
SFoyer,108959.0
1Story,108500.0
1Story,108480.0
1Story,108000.0
1Story,108000.0
1.5Fin,108000.0
1Story,108000.0
2Story,108000.0
1Story,108000.0
1Story,107900.0
1Story,107500.0
2Story,107500.0
2Story,107500.0
2Story,107400.0
2Story,107000.0
SLvl,107000.0
1Story,107000.0
1Story,106500.0
1Story,106500.0
2Story,106250.0
2Story,106000.0
2.5Unf,106000.0
2Story,106000.0
1Story,105900.0
1.5Unf,105500.0
1Story,105000.0
1.5Fin,105000.0
1.5Fin,105000.0
1.5Fin,105000.0
1.5Fin,105000.0
1.5Fin,104900.0
1.5Fin,104900.0
2.5Fin,104000.0
2Story,103600.0
1.5Unf,103200.0
1.5Fin,103000.0
1.5Fin,102776.0
1Story,102000.0
1.5Fin,102000.0
1Story,102000.0
1Story,101800.0
2.5Unf,101000.0
1Story,100000.0
1.5Fin,100000.0
1Story,100000.0
1Story,100000.0
1Story,100000.0
2Story,100000.0
1Story,100000.0
1Story,100000.0
1Story,100000.0
1Story,99900.0
1Story,99500.0
1Story,98600.0
1Story,98300.0
1Story,98000.0
2Story,98000.0
1.5Fin,98000.0
1.5Fin,97500.0
1Story,97000.0
1Story,97000.0
2Story,97000.0
1.5Unf,96500.0
1.5Fin,96500.0
1.5Fin,95000.0
2Story,95000.0
1Story,94750.0
2Story,94500.0
1.5Fin,94000.0
1Story,93500.0
1Story,93500.0
1.5Fin,93000.0
1Story,93000.0
1Story,93000.0
1Story,92900.0
SFoyer,92000.0
1.5Fin,91500.0
2Story,91500.0
1Story,91300.0
SLvl,91000.0
1Story,91000.0
1Story,91000.0
1Story,90350.0
1Story,90000.0
2Story,90000.0
1Story,90000.0
2Story,89500.0
1.5Fin,89500.0
1Story,89471.0
1Story,89000.0
1Story,88000.0
2Story,88000.0
1Story,88000.0
2Story,88000.0
1Story,87500.0
1.5Unf,87000.0
1.5Unf,87000.0
2Story,87000.0
1.5Fin,87000.0
SFoyer,86000.0
1Story,86000.0
1Story,86000.0
1Story,85500.0
2Story,85400.0
1.5Fin,85000.0
2Story,85000.0
1Story,85000.0
1Story,85000.0
1Story,84900.0
1.5Fin,84500.0
SFoyer,84500.0
1Story,84500.0
1Story,84000.0
2Story,83500.0
1Story,83000.0
2Story,83000.0
1Story,82500.0
1Story,82500.0
1Story,82500.0
1Story,82000.0
1Story,82000.0
1Story,82000.0
1.5Fin,81000.0
SFoyer,81000.0
1Story,81000.0
1.5Fin,80500.0
1Story,80000.0
SFoyer,80000.0
1Story,80000.0
1.5Fin,80000.0
1.5Fin,79900.0
1Story,79900.0
1Story,79500.0
1.5Fin,79000.0
1.5Fin,79000.0
1Story,79000.0
2Story,78000.0
1Story,76500.0
1.5Unf,76000.0
SFoyer,75500.0
2Story,75000.0
1Story,73000.0
1Story,72500.0
1Story,68500.0
1.5Fin,68400.0
1Story,67000.0
1Story,67000.0
1.5Fin,66500.0
1Story,64500.0
1Story,62383.0
1Story,61000.0
1Story,60000.0
1Story,60000.0
1Story,60000.0
1Story,58500.0
1Story,55993.0
2Story,55000.0
1Story,55000.0
1Story,52500.0
1Story,52000.0
2Story,40000.0
1Story,39300.0
1.5Fin,37900.0
1Story,35311.0
1Story,34900.0
